# Chirality              -1               1               1              -1
# k            phase           phase           phase           phase
      0.00000000       0.00000113       0.00000114       0.00000114       0.00000113
      0.00125000       0.00001100       0.00001165       0.00001169       0.00001100
      0.00250000       0.00002131       0.00002396       0.00002407       0.00002133
      0.00375000       0.00003094       0.00003693       0.00003714       0.00003102
      0.00500000       0.00003987       0.00005056       0.00005090       0.00004004
      0.00625000       0.00004811       0.00006484       0.00006535       0.00004840
      0.00750000       0.00005566       0.00007978       0.00008049       0.00005611
      0.00875000       0.00006252       0.00009538       0.00009631       0.00006315
      0.01000000       0.00006868       0.00011163       0.00011283       0.00006954
      0.01125000       0.00007415       0.00012855       0.00013005       0.00007526
      0.01250000       0.00007892       0.00014612       0.00014795       0.00008032
      0.01375000       0.00008300       0.00016436       0.00016655       0.00008471
      0.01500000       0.00008638       0.00018325       0.00018584       0.00008845
      0.01625000       0.00008905       0.00020281       0.00020583       0.00009151
      0.01750000       0.00009103       0.00022303       0.00022651       0.00009391
      0.01875000       0.00009230       0.00024391       0.00024789       0.00009564
      0.02000000       0.00009287       0.00026546       0.00026998       0.00009670
      0.02125000       0.00009273       0.00028767       0.00029276       0.00009709
      0.02250000       0.00009188       0.00031055       0.00031625       0.00009681
      0.02375000       0.00009032       0.00033410       0.00034044       0.00009585
      0.02500000       0.00008805       0.00035832       0.00036534       0.00009422
      0.02625000       0.00008506       0.00038321       0.00039095       0.00009190
      0.02750000       0.00008135       0.00040877       0.00041728       0.00008891
      0.02875000       0.00007692       0.00043501       0.00044431       0.00008523
      0.03000000       0.00007176       0.00046192       0.00047207       0.00008087
      0.03125000       0.00006587       0.00048951       0.00050054       0.00007582
      0.03250000       0.00005926       0.00051779       0.00052973       0.00007009
      0.03375000       0.00005191       0.00054675       0.00055966       0.00006366
      0.03500000       0.00004382       0.00057639       0.00059030       0.00005654
      0.03625000       0.00003499       0.00060672       0.00062169       0.00004871
      0.03750000       0.00002541       0.00063773       0.00065380       0.00004019
      0.03875000       0.00001509       0.00066944       0.00068666       0.00003097
      0.04000000       0.00000401       0.00070185       0.00072025       0.00002104
      0.04125000       0.99999218       0.00073495       0.00075459       0.00001041
      0.04250000       0.99997958       0.00076876       0.00078969       0.99999906
      0.04375000       0.99996622       0.00080326       0.00082553       0.99998699
      0.04500000       0.99995209       0.00083848       0.00086214       0.99997421
      0.04625000       0.99993718       0.00087440       0.00089950       0.99996070
      0.04750000       0.99992150       0.00091103       0.00093763       0.99994647
      0.04875000       0.99990503       0.00094839       0.00097654       0.99993151
      0.05000000       0.99988777       0.00098646       0.00101622       0.99991582
      0.05125000       0.99986971       0.00102525       0.00105668       0.99989939
      0.05250000       0.99985086       0.00106477       0.00109792       0.99988222
      0.05375000       0.99983120       0.00110502       0.00113996       0.99986431
      0.05500000       0.99981073       0.00114601       0.00118280       0.99984564
      0.05625000       0.99978944       0.00118773       0.00122643       0.99982622
      0.05750000       0.99976733       0.00123020       0.00127088       0.99980605
      0.05875000       0.99974438       0.00127341       0.00131613       0.99978511
      0.06000000       0.99972061       0.00131737       0.00136221       0.99976340
      0.06125000       0.99969598       0.00136209       0.00140911       0.99974093
      0.06250000       0.99967051       0.00140757       0.00145685       0.99971767
