# Chirality               1              -1              -1               1               1              -1              -1               1
# k            phase           phase           phase           phase           phase           phase           phase           phase
      0.00000000       0.00000232       0.00000230       0.00000231       0.00000231       0.00000227       0.00000225       0.00000226       0.00000226
      0.00250000       0.00002340       0.00002280       0.00002290       0.00002326       0.00002291       0.00002231       0.00002241       0.00002277
      0.00500000       0.00004730       0.00004515       0.00004529       0.00004699       0.00004632       0.00004416       0.00004431       0.00004600
      0.00750000       0.00007171       0.00006702       0.00006717       0.00007116       0.00007024       0.00006554       0.00006570       0.00006968
      0.01000000       0.00009661       0.00008844       0.00008855       0.00009580       0.00009465       0.00008646       0.00008659       0.00009383
      0.01250000       0.00012201       0.00010938       0.00010941       0.00012089       0.00011957       0.00010691       0.00010696       0.00011843
      0.01500000       0.00014792       0.00012986       0.00012976       0.00014644       0.00014499       0.00012689       0.00012682       0.00014348
      0.01750000       0.00017432       0.00014986       0.00014959       0.00017245       0.00017091       0.00014639       0.00014616       0.00016900
      0.02000000       0.00020123       0.00016939       0.00016890       0.00019891       0.00019732       0.00016542       0.00016498       0.00019497
      0.02250000       0.00022863       0.00018843       0.00018769       0.00022582       0.00022424       0.00018398       0.00018327       0.00022139
      0.02500000       0.00025654       0.00020700       0.00020595       0.00025320       0.00025166       0.00020204       0.00020104       0.00024828
      0.02750000       0.00028495       0.00022508       0.00022368       0.00028103       0.00027959       0.00021963       0.00021828       0.00027562
      0.03000000       0.00031386       0.00024266       0.00024088       0.00030932       0.00030802       0.00023672       0.00023498       0.00030343
      0.03250000       0.00034328       0.00025975       0.00025753       0.00033808       0.00033696       0.00025331       0.00025115       0.00033169
      0.03500000       0.00037321       0.00027634       0.00027364       0.00036729       0.00036640       0.00026941       0.00026676       0.00036042
      0.03750000       0.00040364       0.00029243       0.00028920       0.00039698       0.00039636       0.00028500       0.00028183       0.00038962
      0.04000000       0.00043459       0.00030801       0.00030420       0.00042713       0.00042683       0.00030008       0.00029634       0.00041929
      0.04250000       0.00046606       0.00032307       0.00031864       0.00045775       0.00045782       0.00031464       0.00031029       0.00044942
      0.04500000       0.00049804       0.00033761       0.00033251       0.00048884       0.00048933       0.00032869       0.00032368       0.00048003
      0.04750000       0.00053055       0.00035162       0.00034581       0.00052041       0.00052136       0.00034221       0.00033648       0.00051112
      0.05000000       0.00056359       0.00036510       0.00035853       0.00055246       0.00055391       0.00035519       0.00034871       0.00054269
      0.05250000       0.00059715       0.00037804       0.00037066       0.00058499       0.00058700       0.00036763       0.00036036       0.00057474
