# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
    0.00000000   -0.07058156   -0.00441594    0.00000002   10.64658283    0.00356543    0.00000000    0.05742327
    0.00000001   -0.06385945   -0.05232814    0.00000002   10.65212385    0.04224970    0.00000001    0.05195435
    0.00000002    0.04373644   -0.12427709    0.00000003   10.69489860    0.10034124    0.00000002   -0.03558281
   -0.00000002   -0.12536605   -0.19269489    0.00000001   10.89645254    0.15558172   -0.00000002    0.10199448
    0.64481993   -0.23669095    0.05775518    0.00000002   11.00140039   -0.04663149    0.49999999    0.19256545
    0.64481994   -0.23481272    0.04527384    0.00000003   10.98362077   -0.03655406    0.50000000    0.19103737
    0.64481989   -0.24147756    0.08060428    0.00000003   11.04489170   -0.06507984    0.49999996    0.19645971
    0.64481990   -0.23534782    0.04918024    0.00000002   10.98872792   -0.03970810    0.49999997    0.19147272
    0.00000000   -0.07060076    0.00305642    0.00000007   10.64655565   -0.00246775    0.00000000    0.05743889
    0.00000001   -0.05954822   -0.05981371    0.00000002   10.65145306    0.04829355    0.00000001    0.04844685
    0.00000000   -0.05877257   -0.06047503    0.00000001   10.65100333    0.04882750    0.00000000    0.04781580
    0.00000013   -0.12807657   -0.19733007    0.00000003   10.90819555    0.15932416    0.00000010    0.10419969
    0.00000007   -0.16189106   -0.25516971    0.00000002   11.06446031    0.20602385    0.00000005    0.13171025
    0.64481993   -0.23384052    0.03706683    0.00000003   10.97425529   -0.02992773    0.49999999    0.19024641
    0.64481992   -0.24371701    0.08899147    0.00000002   11.06436946   -0.07185165    0.49999998    0.19828167
    0.64481993   -0.23193962   -0.00570896    0.00000002   10.95561824    0.00460941    0.49999998    0.18869989
    0.64481991   -0.23358055    0.03452659    0.00000002   10.97173211   -0.02787674    0.49999997    0.19003491
   -0.64481992   -0.23256089   -0.02176978    0.00000002   10.96175719    0.01757691   -0.49999998    0.18920534
   -0.00000002   -0.06395491   -0.10921003    0.00000003   10.69751944    0.08817610   -0.00000001    0.05203201
    0.00000000   -0.05241865   -0.06088726    0.00000003   10.64464577    0.04916033    0.00000000    0.04264642
   -0.00000002   -0.04676930   -0.12133833    0.00000002   10.69391646    0.09796848   -0.00000001    0.03805026
    0.00000000   -0.05206136   -0.11605235    0.00000002   10.69260217    0.09370059    0.00000000    0.04235574
    0.00000003    0.00631355   -0.14372972    0.00000002   10.70277682    0.11604728    0.00000003   -0.00513654
   -0.00000006   -0.12202181   -0.18700359    0.00000001   10.88218882    0.15098657   -0.00000005    0.09927370
   -0.00000013   -0.12420540   -0.19071583    0.00000002   10.89147318    0.15398382   -0.00000010    0.10105020
    0.00000015   -0.13613406   -0.21118279    0.00000002   10.94396677    0.17050884    0.00000011    0.11075504
    0.00000006   -0.11916986   -0.18218011    0.00000002   10.87023390    0.14709209    0.00000005    0.09695343
   -0.64481994   -0.23215356   -0.01359739    0.00000001   10.95773750    0.01097852   -0.49999999    0.18887395
   -0.64481992   -0.23831908   -0.06655515    0.00000001   11.01648336    0.05373658   -0.49999998    0.19389005
   -0.64481993   -0.23436139   -0.04167584    0.00000002   10.97928696    0.03364904   -0.49999998    0.19067018
   -0.64481994   -0.24216818   -0.08330398    0.00000003   11.05095650    0.06725958   -0.50000000    0.19702158
   -0.00000015    0.10544490   -0.15952862    0.00000008   10.81575242    0.12880330   -0.00000012   -0.08578716
   -0.00000006   -0.03380068   -0.13255528    0.00000007   10.69809322    0.10702504   -0.00000005    0.02749933
    0.00000004   -0.00051718   -0.14411116    0.00000002   10.70293793    0.11635525    0.00000003    0.00042076
   -0.00000001   -0.02215790   -0.13928422    0.00000002   10.70089760    0.11245798   -0.00000001    0.01802708
   -0.00000003    0.00277861   -0.14403950    0.00000003   10.70290772    0.11629739   -0.00000003   -0.00226060
    0.00000003   -0.00447300   -0.14392117    0.00000002   10.70285771    0.11620185    0.00000003    0.00363911
    0.00000001    0.01252375   -0.14259448    0.00000001   10.70229694    0.11513068    0.00000001   -0.01018899
   -0.00000023   -0.13953573   -0.21704474    0.00000003   10.95941085    0.17524177   -0.00000018    0.11352255
    0.00000024   -0.13160233   -0.20338172    0.00000002   10.92369752    0.16421026    0.00000019    0.10706815
    0.00000030   -0.13120946   -0.20270640    0.00000003   10.92195803    0.16366500    0.00000023    0.10674852
    0.00000020   -0.12868662   -0.19837560    0.00000002   10.91085996    0.16016832    0.00000015    0.10469601
    0.38955791    0.61457269   -0.20388697    0.00000003   11.74420458    0.16461819    0.30206720   -0.49999997
   -0.64481991   -0.25430844   -0.11901716    0.00000003   11.14942388    0.09609438   -0.49999997    0.20689857
   -0.64481991   -0.26469963   -0.13978685    0.00000003   11.22246954    0.11286380   -0.49999997    0.21535257
   -0.64481990   -0.26191112   -0.13479248    0.00000003   11.20380717    0.10883135   -0.49999997    0.21308390
   -0.00000018    0.01249931   -0.14260052    0.00000005   10.70229954    0.11513556   -0.00000014   -0.01016911
   -0.00000022   -0.00317068   -0.14401709    0.00000002   10.70289826    0.11627930   -0.00000017    0.00257958
   -0.00000012    0.02016722   -0.14012843    0.00000006   10.70125417    0.11313960   -0.00000010   -0.01640751
    0.00000004   -0.09867480   -0.14883036    0.00000003   10.79098653    0.12016553    0.00000003    0.08027919
   -0.00000002   -0.12026319   -0.18402565    0.00000002   10.87479348    0.14858218   -0.00000001    0.09784293
    0.00000004   -0.11816726   -0.18049208    0.00000002   10.86607920    0.14572918    0.00000003    0.09613773
   -0.00000002    0.00283251   -0.14403654    0.00000003   10.70290641    0.11629500   -0.00000002   -0.00230446
   -0.00000001    0.00056357   -0.14411067    0.00000002   10.70293772    0.11635485   -0.00000001   -0.00045851
    0.00000001   -0.01250093   -0.14260008    0.00000002   10.70229936    0.11513521    0.00000001    0.01017042
   -0.00000003   -0.01751474   -0.14112154    0.00000002   10.70167394    0.11394143   -0.00000002    0.01424953
   -0.00000004   -0.13012806   -0.20084875    0.00000001   10.91718552    0.16216514   -0.00000003    0.10586873
   -0.00000028   -0.13893687   -0.21601280    0.00000002   10.95667872    0.17440859   -0.00000022    0.11303534
   -0.09735548    0.61457273   -0.19375871    0.00000003   11.27545219    0.15644065   -0.07549044   -0.50000000
